CountyFIPS,DataCategory,DataType,HUC,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
49023,DETAIL,ALLOCATION,160203060306,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060309,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060402,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060403,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060405,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060501,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060603,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203061101,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49027,DETAIL,ALLOCATION,160203060301,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060202,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060203,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060205,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060206,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060208,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060607,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060704,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061001,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061003,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061005,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061006,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061009,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061102,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061103,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061201,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061202,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061205,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061301,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061305,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061307,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203080401,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060803,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060805,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060806,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060806,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060807,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060808,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
