CountyFIPS,DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
16023,DETAIL,DIVERSION,170402170703,IDWR,2015,33,,56,http://www.westernstateswater.org/Idaho
16023,DETAIL,DIVERSION,170402180900,IDWR,2015,33,,56,http://www.westernstateswater.org/Idaho
16023,DETAIL,DIVERSION,170402180608,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16023,DETAIL,DIVERSION,170402180703,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16023,DETAIL,DIVERSION,170402180706,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16023,DETAIL,DIVERSION,170402180802,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16023,DETAIL,DIVERSION,170402180803,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16023,DETAIL,DIVERSION,170402180804,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16023,DETAIL,DIVERSION,170402180900,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170000000000,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180403,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180502,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180503,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180504,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180506,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180608,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180701,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180703,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180704,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16037,DETAIL,DIVERSION,170402180706,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150606,IDWR,2015,34,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170000000000,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060107,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060201,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060202,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060203,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060204,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060205,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060206,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060207,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060208,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060209,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060301,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060302,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060303,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060304,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060305,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060402,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060403,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060404,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060405,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060503,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060504,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060505,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060601,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060602,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060603,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060701,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060702,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060703,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402060704,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402061001,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402061002,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
