CountFIPS,DataCategory,DataType,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
35015,SUMMARY,USE,,NMOSE,2010,35015,Eddy,35,http://www.westernstateswater.org/NewMexico
35047,SUMMARY,USE,,NMOSE,2005,35047,San Miguel,35,http://www.westernstateswater.org/NewMexico
35028,SUMMARY,USE,,NMOSE,1995,35028,Los Alamos,35,http://www.westernstateswater.org/NewMexico
35005,SUMMARY,USE,,NMOSE,2000,35005,Chaves,35,http://www.westernstateswater.org/NewMexico
35005,SUMMARY,USE,,NMOSE,1990,35005,Chaves,35,http://www.westernstateswater.org/NewMexico
35021,SUMMARY,USE,,NMOSE,2000,35021,Harding,35,http://www.westernstateswater.org/NewMexico
35021,SUMMARY,USE,,NMOSE,1990,35021,Harding,35,http://www.westernstateswater.org/NewMexico
35017,SUMMARY,USE,,NMOSE,2000,35017,Grant,35,http://www.westernstateswater.org/NewMexico
35017,SUMMARY,USE,,NMOSE,1990,35017,Grant,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2010,AWR,Arkansas-White-Red Region,35,http://www.westernstateswater.org/NewMexico
